tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Convergent margin,Andesite,67.46,0.52,15.57,3.01,1.37,0.08,3.41,4.69,0.13,8.6,56,0,7.2,6,115.7,291,16.9,237,21.6,46.4,20,3.55,0.82,1.76,0.3,5.49,16
Intraplate,Rhyolite,69.86,0.41,14.75,0.84,0.2,0.06,3.2,4.98,0.06,4.4,7.8,0.01,2.5,3.6,106,86,88,524,119.95,249.3,96.298,16.967,3.19,6.33,1.11,14.58,17.21
Convergent margin,Rhyolite,73.27,0.33,13.15,1.84,0.78,0.08,2.56,3.9,0.03,11,38,0,4,31,18.6,163.5,22.4,90.5,6.5,14.6,9,2.6,0.75,2.6,0.47,3.5,1.1
Seamount,Dacite,71.67,0.46,13.83,2.84,1.02,0.06,0.64,5.21,0.06,15.5,18.5,0,2.3,1.6,6.01,118.1,31.2,119.5,7.03,18.58,13.15,3.62,1.05,3.34,0.58,3.41,1.51
Convergent margin,Rhyolite,64.83,0.87,13.79,1.43,2.91,0.04,0.05,6.58,0.16,21,91,0,9.6,20,0.6,45.1,31,82.2,4.3,12.2,11.2,3.5,1.28,3.41,0.5,3.2,0.2
Convergent margin,Dacite,58.68,1.41,13.45,3.26,2.56,0.12,0.22,6.07,0.27,27.3,234.4,0,32.4,6.2,2.31,220.9,42.1,141.7,10.98,26.41,19.71,5.45,1.69,3.45,0.53,2.58,1.37
Convergent margin,Rhyolite,77.95,0.25,11.99,0.18,0.04,0.01,0.66,6.28,0.04,8,9,0,1.3,32,5.7,30.5,30.8,68.6,3.8,10,9,2.7,0.99,3.3,0.53,2.7,0.3
Intraplate,Rhyolite,69.62,0.6,13.05,1.92,0.73,0.05,4.44,3.16,0.12,8.8,13,0.01,4.8,9.9,152,177,30,246,53.29,104.3,42.81,7.06,1.43,2.37,0.44,7.62,13.8
Convergent margin,Rhyolite,74.34,0.31,12.76,1.45,1.01,0.04,0.48,5.56,0.03,12,29,0,5.3,40,5.2,73.4,21.2,82.7,4.5,10.1,7.3,2.2,0.64,2.42,0.38,3,0.8
Convergent margin,Rhyolite,76.07,0.26,12.18,0.98,0.86,0.01,0.22,5.73,0.04,7,13,0,4.3,43,1.9,131.6,28.3,95.5,5.3,14,10.1,3.1,0.8,3.37,0.53,4.1,0.7
Convergent margin,Andesite,59.89,0.859,16.32,5.78,2.05,0.22,1.43,4.13,0.279,28,125,0,20.4,5.37,27.8,366,39.1,116,12.6,26.8,18.5,5.06,1.65,3.92,0.634,3.15,1.84
Convergent margin,Andesite,60.97,0.881,15.98,5.97,2.07,0.22,1.41,4.06,0.272,27.3,132,0,22.7,7.74,26.8,363,37.9,112,12.2,25.9,17.9,4.9,1.62,3.89,0.624,3.12,1.85
Convergent margin,Dacite,63.91,0.75,15.47,4.56,1.52,0.2,1.88,4.38,0.3,20.5,44.4,0,9.1,1.46,36.8,323,43.1,141,15.1,32.6,21.3,5.64,1.6,4.26,0.67,3.72,2.22
Seamount,Dacite,67.2,0.92,14.54,3.22,1.01,0.15,2.23,4.29,0.17,11.8,NA,0.18,6.58,0.61,43.3,192,38.4,169,14.5,33,21.2,5.54,1.64,4.78,0.73,5.59,3.17
Seamount,Dacite,71.86,0.44,13.66,2.92,0.7,0.08,1.28,4.88,0.06,14.3,16.5,0.2,2.3,3.7,11.33,115,30.6,117.4,6.62,17.44,12.031,3.37,1.05,3.42,0.58,3.42,1.5
Convergent margin,Dacite,67.51,0.27,11.72,1.3,0.41,0.06,3.64,3.25,0.02,6.644634588,7.140610178,0.255614812,1.653914615,1.19841756,92.4041834,142.394729,30.8743047,130.1136176,41.50075592,74.71031132,27.9555428,5.470345093,0.976208657,3.476798066,0.533012755,4.128078428,18.07364149
Intraplate,Rhyolite,69.46,0.22,16.21,0.88,0.01,0.04,5.06,6.22,0.04,3,0.12,0.39,30.8,0.27,123,8.49,50.9,1224,70.1,153,63.6,12.6,0.83,5.27,0.76,24.9,14.3
Intraplate,Rhyolite,69.13,0.28,16.53,0.79,0.08,0.04,5.4,5.61,0.06,3.76,0.12,0.47,49.2,0.52,115,33.5,36.3,745,78.9,151,61.2,11,1.81,2.92,0.41,15.6,9.6
Convergent margin,Dacite,66.29,0.46,14.07,2.84,0.92,0.08,3.08,4.48,0.08,8.647579616,37.34186967,0.492108537,4.042698999,0.62934507,97.36055231,260.1839563,25.67664419,203.0782551,43.06052585,74.58582468,26.39544923,4.866091592,1.061476701,2.950575048,0.462256788,5.228633374,17.19342898
Seamount,Dacite,71.4,0.83,13.49,4.21,2.71,0.2,0.1,2.88,0.23,17.9,NA,0.55,8.17,2.33,0.54,151,34.4,88.1,5.79,15,12.4,4.02,1.19,4.11,0.62,3.13,0.83
Ocean island,Dacite,59.93,1.27,15.83,6.55,2.45,0.14,0.98,3.93,0.34,18.2,68.9,0.68,15.8,9.07,28.9,179,43.1,325,30.66,63.45,29.28,6.45,1.81,4.31,0.65,8.09,3.72
Convergent margin,Dacite,64.89,0.56,14.16,6.03,1.58,0.19,1.06,3.02,0.18,25.4,92.7,0.78,18.2,4.28,13.5,295,16,37.7,2.95,7.44,5.83,1.79,0.794,1.99,0.316,1.29,0.379
Convergent margin,Dacite,68.96,0.79,14.34,2.55,0.6,0.11,2.62,5.15,0.17,15.1,13,0.8,4.4,7,65.2,188,54.4,341,30.9,71.9,36.77,8.41,1.83,5.84,0.87,7.65,7.99
Cont flood Basalt,Rhyolite,74.34,0.22,13.33,0.61,0.19,0.05,5.04,4.59,0.04,3.8,3,0.9,1.1,5,78.7,23,41,293,40.8,81,34,6.3,0.44,4.5,0.7,8,10.1
Convergent margin,Andesite,54.03,0.778,19.41,9.08,2.56,0.179,1,3.44,0.187,25.7,188,1,21.2,2.74,20.3,428,27.3,79,8.2,17.9,12.3,3.41,1.15,2.69,0.419,2.24,1.23
Convergent margin,Andesite,56.09,1.12,17.77,6.64,2.56,0.18,1.84,3.99,0.3,20.4,190,1,20,4,45,360,26.8,141,14.5,33.2,19.2,4.94,1.49,2.76,0.44,3.68,4.48
Convergent margin,Dacite,64.09,0.57,16.87,4.34,1.91,0.07,3.03,4.21,0.16,8.8,70,1,11.4,3,108,612,22,117,26.5,53,23,4.85,0.84,1.41,0.171,4.4,15.07
Convergent margin,Rhyolite,74.24,0.25,13.56,1.47,0.2,0.05,5.19,2.85,0.04,3.3,22,1,3,2,142,79,11.9,159,19.5,41,13.5,2.52,0.55,1.54,0.23,4.54,14.2
Convergent margin,Rhyolite,75.03,0.108,12.29,0.49,0.08,0.04,5.986,2.85,0.017,8.8,70,1,11.4,3,108,612,22,117,26.5,53,23,4.85,0.84,1.41,0.171,4.4,15.07
Convergent margin,Andesite,58.85,0.859,16.33,6.08,2.16,0.201,1.27,3.75,0.266,27,136,1,20.2,6.65,25.4,365,36.1,107,11.7,24.7,17,4.72,1.53,3.59,0.587,2.84,1.65
Intraplate,Rhyolite,73.05,0.77,13.02,3.41,1.83,0.06,0.46,4.69,0.13,14.4,91,1,14,52,14,233,15,125,14,30,17,3.23,0.91,1.19,0.13,3.47,1.89
Convergent margin,Andesite,61.26,0.804,15.67,5.44,1.82,0.208,1.52,3.99,0.322,23.4,79.5,1,15.8,5.25,30.5,340,41.6,126,13.7,29.1,19.9,5.46,1.68,4.16,0.679,3.41,2.02
Seamount,Dacite,68.6,0.39,13.54,3.47,0.96,0.08,1.11,4.81,0.07,12,46.3,1,7.4,2,19.75,107.5,26.7,98.4,7.25,18.2,11.69,3.14,0.82,2.92,0.49,3.03,1.83
Convergent margin,Dacite,65.65,0.65,16.47,3.12,1.12,0.14,2.32,5.45,0.2,10,18,1,5,1,55,372,32,230,26.9,61,29.5,6,1.51,3.2,0.47,5.8,5.5
Convergent margin,Andesite,59.77,0.879,16.37,6.04,2.17,0.208,1.28,3.82,0.281,26.8,139,1,23.1,11.48,26,360,36.2,110,11.2,24.5,17,4.73,1.55,3.54,0.554,2.96,1.69
Convergent margin,Dacite,63,0.798,15.12,5.31,1.97,0.193,1.17,3.68,0.288,24.6,124,1,20.4,7.92,25,332,34.8,110,11,24.1,16.9,4.66,1.49,3.45,0.538,2.94,1.66
Convergent margin,Andesite,58.36,0.878,16.13,6.22,2.39,0.224,1.36,4.41,0.254,26.3,142,1,22.4,2.98,23.6,366,33.3,98,10.8,24,16.8,4.59,1.44,3.44,0.538,2.8,1.53
Convergent margin,Rhyolite,63.6,0.581,15.2,3.88,2.06,0.102,3.63,3.02,0.211,2.506393862,14.3263965,1,19.10067648,0.749177331,130.7519136,113.3038448,12.62722098,166.0828706,21.06489185,50.5210084,20.62298604,3.471698113,0.571529745,1.260908281,0.193548387,5.184,7.685714286
Convergent margin,Andesite,58.82,1.38,15.51,5.5,2.17,0.22,2.44,4.02,0.44,27.1,127,1,15,3,48,364,37.6,169,19.5,45.5,28,6.48,1.96,3.88,0.61,6.04,3.89
Intraplate,Rhyolite,69.8,0.36,14.56,1.79,0.32,0.11,4.53,4.31,0.1,14.9,14,1,NA,6,117,231,36.1,241,38.8,72.1,36.93,7.56,1.7,3.4,0.6,6.7,16.1
Seamount,Dacite,67.49,0.91,14.81,3.31,1.05,0.12,2.22,4.38,0.17,11.2,NA,1.09,5.77,0.75,43.7,187,40.5,179,14.9,35.1,23,6.09,1.63,4.74,0.73,5.33,3.17
Convergent margin,Dacite,66.69,0.98,14.42,3.26,0.97,0.16,2.25,5.27,0.29,19.3,31,1.1,6.37,9,56.5,230.4,52.3,301,29.4,70.7,37.25,8.67,2.02,5.74,0.85,6.78,6.6
Intraplate,Rhyolite,71.96,0.44,13.78,0.28,0.24,0.03,4.47,5.52,0.08,8.54,18.3,1.11,1.58,3.42,119,59.4,57.6,456,65.2,139,68.6,11.5,2.88,6.61,1.01,12,14.1
Intraplate,Rhyolite,74.99,0.04,13.44,0.09,0.09,0.02,4.48,3.6,0.01,0.5,2.2,1.16,0.91,0.65,694,5.11,41.2,62.8,13.9,31.8,18.9,6.25,0.1,8.03,1.05,4.63,40.9
Convergent margin,Rhyolite,77.29,0.1,12.62,0.97,0.03,0.08,2.55,4.3,0.03,14.5,0.2,1.2,1.2,0.7,28.4,72,39.7,114.6,4.85,13.6,10.12,3.35,0.64,4.14,0.68,3.32,0.54
Seamount,Dacite,68.08,0.39,13.41,3.63,0.92,0.09,1.18,5.16,0.06,14.7,43.5,1.2,7.1,4.3,20.14,111.1,26.9,98.5,7.21,18.14,11.54,3.1,0.81,2.87,0.48,3.01,1.83
Convergent margin,Andesite,60.2,0.46,18.3,6.17,1.9,0.18,1.41,4.5,0.23,7.06,44.93,1.22,9.74,1.05,33.74,481.25,18.58,92.73,11.44,25.52,14.84,3.59,1.13,2.04,0.33,2.59,3.09
Intraplate,Rhyolite,70.2,0.73,12.58,1.91,0.41,0.1,4.38,2.52,0.13,10.07,4.26,1.27,3.59,3.78,76.47,187.6,53.61,485,79.16,159.3,77.46,12.16,2.54,5.49,0.84,12.84,12.52
Seamount,Dacite,68.71,0.4,13.55,3.53,0.91,0.08,1.14,4.77,0.06,12.2,44.6,1.3,7.7,1.7,19.94,108.8,26.9,99.1,7.35,18.46,11.72,3.14,0.82,2.92,0.5,3.04,1.86
Convergent margin,Dacite,62.98,0.91,15.69,4.65,1.85,0.16,2.56,4.55,0.36,18.5,111,1.3,11.5,2.7,35.8,347,40.1,152.2,14.28,32.2,21.84,5.67,1.58,3.9,0.6,3.83,2.03
Convergent margin,Rhyolite,77.31,0.1,12.71,0.93,0.03,0.08,2.98,3.75,0.05,14.4,0.3,1.5,1.1,1.2,29.1,68,40.1,117,4.84,13,9.79,3.21,0.59,4.13,0.67,3.38,0.56
Intraplate,Rhyolite,69.8,0.46,15.4,1.32,0.37,0.05,5.09,4.18,0.11,4.2,39.9,1.6,3.6,4.2,193,309.2,28.2,398.7,94.6,173.69,66.9,9.75,1.74,2.63,0.42,8.5,46.29
